Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,I,N,NS,P,PI,S,SI,U,W,WF,WN,
,,,,,,H07,28571,"Whalen, Timothy M.",49.40%,7.60%,,,25.30%,3.80%,12.70%,1.30%,,,,,,,,,,,,,,,,,,,
,,,,,,H09,14385,"Brophy, Sean",40.50%,8.90%,,,24.10%,3.80%,13.90%,5.10%,1.30%,1.30%,1.30%,,,,,,,,,,,,,,,,
,,,,,,H11,15543,"Lyon, Joseph A.",46.30%,6.30%,,,31.30%,,8.80%,5.00%,,1.30%,,,,,,,,,,,,,,1.30%,,,
,,,,,,H13,15546,"Lyon, Joseph A.",51.30%,6.30%,,,32.50%,2.50%,5.00%,1.30%,1.30%,,,,,,,,,,,,,,,,,,
,,29600,First-Time Researcher,202320,Spring 2023,FR0,27283,"Howarter, John A.",,,,,,,,,,,,,,,,,,,,,84.60%,,7.70%,7.70%,,,
,,,,,,FR3,27284,"Howarter, John A.",,,,,,,,,,,,,,,,,2.90%,,97.10%,,,,,,,,
,,,Kiewit Scholar Seminar,202320,Spring 2023,3,26332,"Mcfall-Wankat, Tyson J.",,,,,,,,,,,,,,,,,,,,,100.00%,,,,,,
,,39899,GEARE Global Internship,202320,Spring 2023,1,17533,"Rios-Rojas, Gabriel O.",,,,,,,,,,,,,,,,,,,,,100.00%,,,,,,
,,40400,"Instr,Mentorshp&Ldrshp-Honors",202320,Spring 2023,H03,23869,"Campbell, Makenzie R.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,H04,23871,"Campbell, Makenzie R.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,H05,23872,"Campbell, Makenzie R.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,H06,24805,"Campbell, Makenzie R.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40600,Engr Ambassador Seminar,202320,Spring 2023,1,64509,"Engelberth, Nathan P.",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,49400,Women Engr Sr Seminar,202320,Spring 2023,1,28607,"Zurn-Birkhimer, Suzanne M.",20.00%,24.00%,52.00%,,4.00%,,,,,,,,,,,,,,,,,,,,,,
,,49700,Global Engineering Capstone,202320,Spring 2023,1,18979,"Rios-Rojas, Gabriel O.",,,,,,,,,,,,,,,,,,,100.00%,,,,,,,,
,,59600,Social Innovation And Business,202320,Spring 2023,2,30176,"Vandevoorde, Eric A.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69199,Pro Prac Grad Co-Op I,202320,Spring 2023,1,17151,"Strickland, Jennifer N.",,,,,,,,,,,,,,,,,,,,,100.00%,,,,,,
,,,,,,2,17152,"Vandevoorde, Eric A.",,,,,,,,,,,,,,,,,,,,,100.00%,,,,,,
ENGT,ENGT-Engineering Technology,18200,Gateway To Engineering Tech,202320,Spring 2023,1,15219,"Newell, Brittany A.",27.50%,,,,37.30%,,,19.60%,,,7.80%,,,,3.90%,,,,,,,,,3.90%,,,
,,,,,,13,23000,"Newell, Brittany A.",32.70%,,,,34.60%,,,15.40%,,,3.80%,,,,7.70%,,,,,,,,,5.80%,,,
,,48000,ET Capstone I,202320,Spring 2023,3,20593,"Berry, Frederick C.",36.70%,,22.40%,,14.30%,2.00%,16.30%,,,4.10%,,,,,,2.00%,,,,,,,,2.00%,,,
,,48100,ET Capstone II,202320,Spring 2023,6,20603,"Berry, Frederick C.",39.50%,,42.10%,,6.60%,1.30%,10.50%,,,,,,,,,,,,,,,,,,,,
,,,,,,23,23208,"Berry, Frederick C.",38.70%,,48.00%,,5.30%,1.30%,2.70%,,,4.00%,,,,,,,,,,,,,,,,,
ENTM,ENTM-Entomology,10500,Insects Friend And Foe,202320,Spring 2023,1,17789,"Long, Elizabeth Y.",33.60%,23.60%,10.70%,,8.60%,4.30%,7.90%,2.10%,0.70%,1.40%,3.60%,,,,0.70%,,,,0.70%,,,,,2.10%,,,
,,12800,Investig Forensic Sci  -Honors,202320,Spring 2023,1,11668,"Hans, Krystal R.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Investigating Forensic Science,202320,Spring 2023,1,11668,"Hans, Krystal R.",42.90%,26.90%,7.60%,,6.70%,0.80%,2.50%,1.70%,1.70%,0.80%,,,1.70%,,5.00%,,,,,,,,,,1.70%,,
,,20600,General Entomology,202320,Spring 2023,1,19173,"Cameron, Stephen L.",5.60%,8.50%,26.80%,,7.00%,8.50%,14.10%,4.20%,9.90%,8.50%,,,1.40%,,1.40%,,,,,,,,,4.20%,,,
,,20700,General Entomology Lab,202320,Spring 2023,1,55597,"Cameron, Stephen L.",21.10%,10.50%,5.30%,,21.10%,21.10%,10.50%,5.30%,,,5.30%,,,,,,,,,,,,,,,,
,,,,,,2,19177,"Cameron, Stephen L.",13.30%,20.00%,26.70%,,20.00%,,,6.70%,,13.30%,,,,,,,,,,,,,,,,,
,,,,,,3,19175,"Cameron, Stephen L.",,14.30%,14.30%,,14.30%,7.10%,21.40%,,14.30%,,,,,,7.10%,,,,,,,,,7.10%,,,
,,,,,,4,19176,"Cameron, Stephen L.",6.70%,26.70%,,,,13.30%,6.70%,,6.70%,13.30%,13.30%,,6.70%,,,,,,,,,,,6.70%,,,
,,21000,Intro Insect Behavior,202320,Spring 2023,1,19178,"Ginzel, Matthew D.",66.70%,,,,23.80%,,,7.10%,,,,,,,2.40%,,,,,,,,,,,,
,,22820,Forensic Analysis,202320,Spring 2023,1,10602,"Hans, Krystal R.",32.70%,18.60%,6.00%,,12.10%,7.50%,12.10%,2.50%,0.50%,4.50%,0.50%,,1.00%,,2.00%,,,,,,,,,,,,
,,25300,Insect Physiol & Biochemistry,202320,Spring 2023,1,10284,"Enders, Laramy S.",8.30%,8.30%,,,8.30%,8.30%,16.70%,8.30%,8.30%,8.30%,,,16.70%,,8.30%,,,,,,,,,,,,
,,31100,Insect Ecology,202320,Spring 2023,1,57243,"Kaplan, Ian",69.60%,,,,21.70%,,,,,,6.50%,,,,,,,,,,,,,,2.20%,,
,,31200,Insect Chemical Ecology,202320,Spring 2023,1,10293,"Couture, John J.",76.50%,,,,11.80%,,,,,,,,,,5.90%,,,,,,,,,5.90%,,,
,,35300,Insecticides And Environment,202320,Spring 2023,1,10295,"Gits, Madison P.",75.00%,,,,18.80%,,,6.30%,,,,,,,,,,,,,,,,,,,
,,39300,Insect Biology Practicum,202320,Spring 2023,1,17764,"Holland, Jeffrey D.",,,,,,,,,,,,,,,,,,,100.00%,,,,,,,,
,,42890,Forensic Science Teaching,202320,Spring 2023,1,19825,"Hans, Krystal R.",,,,,,,,,,,,,,,,,,,100.00%,,,,,,,,
,,64200,Analysis Of Ecological Data,202320,Spring 2023,1,25017,"Holland, Jeffrey D.",46.70%,30.00%,20.00%,,3.30%,,,,,,,,,,,,,,,,,,,,,,
,,69200,Biological Control,202320,Spring 2023,4,25020,"Yaninek, John S.",72.70%,,,,27.30%,,,,,,,,,,,,,,,,,,,,,,
,,,Experimentation And Analysis,202320,Spring 2023,3,25019,"Richmond, Douglas S.",88.20%,,,,5.90%,,,,,,,,,,5.90%,,,,,,,,,,,,
ENTR,ENTR-Entrepreneurship,20000,Intro Entr & Innov,202320,Spring 2023,3,19243,"Davis, Rick B.",31.80%,9.10%,25.00%,,4.50%,9.10%,11.40%,2.30%,,2.30%,,2.30%,2.30%,,,,,,,,,,,,,,
,,,,,,5,19245,"Davis, Rick B.",27.30%,20.50%,31.80%,,2.30%,2.30%,9.10%,,,4.50%,2.30%,,,,,,,,,,,,,,,,
,,,,,,9,55661,"Reiff, Mark A.",24.40%,31.70%,39.00%,,,,2.40%,,,2.40%,,,,,,,,,,,,,,,,,
,,,,,,10,16443,"Lutz, Dora L.",40.50%,19.00%,21.40%,,7.10%,4.80%,4.80%,,,,,,,,2.40%,,,,,,,,,,,,
,,,,,,11,20265,"Reiff, Mark A.",18.20%,27.30%,31.80%,,4.50%,2.30%,9.10%,,,4.50%,,,,,,,,,,,,,,2.30%,,,
,,,,,,14,15645,"Lutz, Dora L.",47.70%,27.30%,13.60%,,2.30%,,6.80%,,,2.30%,,,,,,,,,,,,,,,,,
,,,,,,15,22833,"Woody, Lucas T.",28.60%,31.00%,11.90%,,4.80%,2.40%,14.30%,,2.40%,2.40%,2.40%,,,,,,,,,,,,,,,,
,,,,,,17,22692,"Davis, Jack E.",26.50%,38.20%,14.70%,,2.90%,2.90%,11.80%,,,,,,,,,,,,,,,,,2.90%,,,
,,,,,,18,22693,"Romero-Day, Jorge A.",22.00%,26.80%,4.90%,,12.20%,9.80%,19.50%,,2.40%,,,,,,2.40%,,,,,,,,,,,,
,,,,,,19,22694,"Romero-Day, Jorge A.",23.30%,37.20%,4.70%,,4.70%,9.30%,7.00%,,,,,,2.30%,,2.30%,,,,,,,,,9.30%,,,
,,,Intro Entr & Innov-Honors,202320,Spring 2023,10,16443,"Lutz, Dora L.",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,19,22694,"Romero-Day, Jorge A.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31000,Mktg Mgmt For New Ventures,202320,Spring 2023,1,57370,"Smith, Terry R.",10.30%,5.10%,74.40%,,,,7.70%,,,,,,,,,,,,,,,,,2.60%,,,
,,,,,,2,57371,"Stocklin, Angela L.",32.50%,30.00%,20.00%,,,2.50%,5.00%,,,5.00%,,,5.00%,,,,,,,,,,,,,,
,,,,,,4,57373,"Smith, Terry R.",7.50%,5.00%,85.00%,,2.50%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,57374,"Stocklin, Angela L.",31.60%,21.10%,26.30%,,,,15.80%,2.60%,,2.60%,,,,,,,,,,,,,,,,,
,,,,,,6,18854,"Paden, Bob",24.20%,36.40%,15.20%,,6.10%,,15.20%,,,3.00%,,,,,,,,,,,,,,,,,
,,,,,,8,21443,"Stocklin, Angela L.",14.80%,29.60%,18.50%,,,,7.40%,3.70%,,18.50%,,3.70%,,,,,,,,,,,,3.70%,,,
,,,,,,9,28576,"Paden, Bob",12.50%,45.80%,4.20%,,,12.50%,12.50%,,,4.20%,,,,,8.30%,,,,,,,,,,,,
,,31500,Bus Planning For Social Entr,202320,Spring 2023,1,20999,"Lutz, Dora L.",57.10%,22.90%,8.60%,,5.70%,,2.90%,,,2.90%,,,,,,,,,,,,,,,,,
,,46000,Internship And Career Prep,202320,Spring 2023,1,26627,"Mcnamee, Kathleen E.",11.10%,27.80%,47.20%,,,,2.80%,,2.80%,2.80%,,,,,5.60%,,,,,,,,,,,,
,,,,,,Y01,18858,"Leeker, Steven J.",5.60%,,83.30%,,,,,,,,,,,,5.60%,,,,,,,,,5.60%,,,
,,,,,,Y02,23597,"Wheadon, Mandy J.",14.30%,5.70%,62.90%,,,5.70%,5.70%,,,,,,,,,,,,,,,,,5.70%,,,
,,47000,"Gender, Diversity And Leadrshp",202320,Spring 2023,1,18029,"Kisselburgh, Lorraine G.",66.70%,,,,16.70%,,8.30%,8.30%,,,,,,,,,,,,,,,,,,,
,,48000,Entr Leadership And Careers,202320,Spring 2023,X01,33450,"Woods, Susan B.",44.10%,13.60%,22.00%,,5.10%,,11.90%,,3.40%,,,,,,,,,,,,,,,,,,
,,48100,Consulting For Emerging Entr,202320,Spring 2023,2,16348,"Woods, Susan B.",38.50%,,61.50%,,,,,,,,,,,,,,,,,,,,,,,,
,,48200,Venture Planning Studio,202320,Spring 2023,1,16478,"Mc Donald, John P.",18.20%,27.30%,4.50%,,11.40%,9.10%,15.90%,4.50%,,2.30%,,,,,2.30%,,,,,,,,,4.50%,,,
EPCS,EPCS-Engr Proj Cmity Service,10100,First Yr Part In EPICS,202320,Spring 2023,41,15320,"Khalifah, Susan M.",73.30%,6.70%,6.70%,,,,,,,,,,,,13.30%,,,,,,,,,,,,
,,12100,First Yr ParticipationEPICS II,202320,Spring 2023,9,16587,"Gray, Jeffery L.",85.70%,7.10%,,,,,7.10%,,,,,,,,,,,,,,,,,,,,
,,,,,,16,16611,"Drummond Oakes, Margaret M.",54.50%,,45.50%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,17,16610,"Pritchett, Timothy A.",41.70%,,58.30%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,16631,"Wylezinski, Andrzej",69.20%,30.80%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,16621,"Madsen, Bret J.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,25,16593,"Strueh, Timothy C.",78.60%,7.10%,14.30%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,37,16614,"Wang, Xing",90.90%,9.10%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,51,16210,"Martinez, Jorge L.",66.70%,,25.00%,,,,8.30%,,,,,,,,,,,,,,,,,,,,
,,,,,,59,16634,"Wrede, Brianne N.",54.50%,9.10%,36.40%,,,,,,,,,,,,,,,,,,,,,,,,
,,20100,Soph Part In EPICS,202320,Spring 2023,41,15322,"Khalifah, Susan M.",65.00%,,25.00%,,,,,,,,,,,,,,,,,,,,,10.00%,,,
FNR,FNR-Forestry&Natural Resources,12500,Environmental Scienc & Conserv,202320,Spring 2023,1,10288,"Dunning, John B.",9.40%,18.80%,,,28.10%,4.70%,9.40%,7.80%,1.60%,9.40%,3.10%,1.60%,1.60%,,4.70%,,,,,,,,,,,,
,,20100,Marine Biology,202320,Spring 2023,1,29480,"Goforth, Reuben R.",20.20%,14.30%,9.50%,,16.70%,8.30%,16.70%,1.20%,,4.80%,,,2.40%,,1.20%,,,,,,,,,4.80%,,,
,,,Marine Biology-Honors,202320,Spring 2023,1,29480,"Goforth, Reuben R.",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,21000,Nat Res Info Mgmt,202320,Spring 2023,7,19844,"Hardiman, Brady S.",60.00%,,,,24.80%,,,10.40%,,,0.80%,,,,2.40%,0.80%,,,,,,,,0.80%,,,
,,,Nat Res Info Mgmt-Honors,202320,Spring 2023,7,19844,"Hardiman, Brady S.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25150,Ecol & Sys Mammals & Birds,202320,Spring 2023,1,16235,"Dunning, John B.",2.60%,6.90%,,,10.30%,11.20%,5.20%,15.50%,5.20%,18.10%,6.00%,3.40%,10.30%,,3.40%,,,,,,,,,1.70%,,,
,,25250,Lab Ecol&Sys Mammals &Birds,202320,Spring 2023,1,16238,"Fehling, Laura S.",16.70%,,33.30%,,,16.70%,8.30%,8.30%,,8.30%,,,,,,,,,,,,,,8.30%,,,
,,,,,,2,16239,"Fehling, Laura S.",9.10%,18.20%,9.10%,,,18.20%,9.10%,,,18.20%,,,,,9.10%,,,,,,,,,9.10%,,,
,,,,,,3,16244,"Fehling, Laura S.",18.20%,18.20%,18.20%,,9.10%,9.10%,9.10%,,,18.20%,,,,,,,,,,,,,,,,,
,,,,,,7,21849,"Fehling, Laura S.",18.20%,18.20%,45.50%,,,,9.10%,,,9.10%,,,,,,,,,,,,,,,,,
,,,,,,8,21850,"Fehling, Laura S.",25.00%,,41.70%,,8.30%,16.70%,8.30%,,,,,,,,,,,,,,,,,,,,
,,,,,,9,27227,"Fehling, Laura S.",27.30%,18.20%,9.10%,,,9.10%,,18.20%,,,9.10%,,,,,,,,,,,,,,9.10%,,
,,,,,,10,27228,"Fehling, Laura S.",18.20%,9.10%,18.20%,,,9.10%,9.10%,,9.10%,18.20%,,,,,,,,,,,,,,9.10%,,,
,,,,,,11,27229,"Fehling, Laura S.",8.30%,8.30%,33.30%,,8.30%,8.30%,,,,,,8.30%,,,,,,,,,,,,8.30%,16.70%,,
,,,,,,12,27230,"Fehling, Laura S.",,,33.30%,,33.30%,8.30%,16.70%,,,8.30%,,,,,,,,,,,,,,,,,
,,30200,Global Sustainability Issues,202320,Spring 2023,1,16196,"Haviarova, Eva",41.20%,5.90%,29.40%,,11.80%,,5.90%,,,5.90%,,,,,,,,,,,,,,,,,
,,30500,Conservation Genetics,202320,Spring 2023,1,27212,"Dewoody, James A.",8.20%,6.10%,,,34.70%,14.30%,12.20%,18.40%,2.00%,4.10%,,,,,,,,,,,,,,,,,
,,31110,Ident & Basic Prop Wood,202320,Spring 2023,1,10225,"Haviarova, Eva",18.20%,18.20%,,,54.50%,,9.10%,,,,,,,,,,,,,,,,,,,,
,,34800,Wildlife Invest Tecniq,202320,Spring 2023,5,52847,"Flaherty, Elizabeth A.",7.70%,20.50%,2.60%,,20.50%,15.40%,15.40%,2.60%,2.60%,7.70%,2.60%,,2.60%,,,,,,,,,,,,,,
,,35300,Nat Res Measurement,202320,Spring 2023,1,19862,"Fei, Songlin",9.40%,,3.10%,,28.10%,15.60%,18.80%,6.30%,6.30%,3.10%,3.10%,,,,,,,,,,,,,6.30%,,,
,,35500,Quant Methods Res Mgrs,202320,Spring 2023,1,15750,"Liang, Jingjing",30.80%,7.70%,15.40%,,23.10%,7.70%,,,,15.40%,,,,,,,,,,,,,,,,,
,,37500,Human Dimensions Of NR,202320,Spring 2023,1,19867,"Ma, Zhao",41.60%,27.00%,3.40%,,7.90%,2.20%,13.50%,1.10%,1.10%,2.20%,,,,,,,,,,,,,,,,,
,,38400,Stats For Natural Resources,202320,Spring 2023,5,15751,"Swihart, Robert K.",16.40%,9.80%,1.60%,,16.40%,11.50%,6.60%,19.70%,4.90%,8.20%,,1.60%,3.30%,,,,,,,,,,,,,,
,,38500,Fish Biology And Ecology,202320,Spring 2023,1,11383,"Collingsworth, Paris D.",15.80%,10.50%,,,10.50%,15.80%,31.60%,,5.30%,5.30%,,,,,,,,,,,,,,5.30%,,,
,,40700,Forest Economics,202320,Spring 2023,1,19869,"Zhou, Mo",50.00%,5.00%,10.00%,,10.00%,20.00%,,,5.00%,,,,,,,,,,,,,,,,,,
,,40910,Forest Resources Management,202320,Spring 2023,1,14706,"Zhou, Mo",63.60%,9.10%,,,27.30%,,,,,,,,,,,,,,,,,,,,,,
,,43300,Forestry Grand Challenges,202320,Spring 2023,1,18390,"Jenkins, Michael A.",50.00%,8.30%,8.30%,8.30%,16.70%,,8.30%,,,,,,,,,,,,,,,,,,,,
,,45300,Fish Physiology,202320,Spring 2023,1,10658,"Brown, Paul B.",30.00%,,10.00%,,30.00%,,20.00%,,,,,,,,,,,,,,,,,10.00%,,,
,,,Fish Physiology-Honors,202320,Spring 2023,1,10658,"Brown, Paul B.",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,45800,Advanced Marine Biology,202320,Spring 2023,1,17761,"Goforth, Reuben R.",29.40%,29.40%,5.90%,,11.80%,5.90%,11.80%,,,5.90%,,,,,,,,,,,,,,,,,
,,49800,Applied Fire Ecology,202320,Spring 2023,45,25305,"Brooke, Jarred M.",18.50%,11.10%,,,40.70%,7.40%,22.20%,,,,,,,,,,,,,,,,,,,,
,,,Applied Fire Ecology-Honors,202320,Spring 2023,45,25305,"Brooke, Jarred M.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Aquatic Sampling Techniques,202320,Spring 2023,50,26141,"Sepulveda, Maria S.",50.00%,14.30%,7.10%,,14.30%,,7.10%,,,7.10%,,,,,,,,,,,,,,,,,
,,,Ecological Sensors And Data,202320,Spring 2023,42,23732,"Hosen, Jacob D.",81.80%,,,,,,,,,,,,,,,9.10%,,,,,,,,9.10%,,,
,,50600,Thry&App Ntrl Resrc Ext Prog,202320,Spring 2023,1,17015,"Macgowan, Brian J.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52900,Disease Ecology,202320,Spring 2023,102,18498,"Hoverman, Jason T.",20.80%,,8.30%,,33.30%,,8.30%,12.50%,,8.30%,4.20%,,,,4.20%,,,,,,,,,,,,
FR,FR-French,10100,French Level I,202320,Spring 2023,8,21211,"Ben Hadj Ben M'Barek, Emmanuelle",35.00%,5.00%,10.00%,,5.00%,20.00%,5.00%,10.00%,,,,,,,5.00%,,,,,,,,,5.00%,,,
,,,,,,9,25928,"Ben Hadj Ben M'Barek, Emmanuelle",35.00%,25.00%,15.00%,,5.00%,,5.00%,5.00%,,5.00%,,,,,5.00%,,,,,,,,,,,,
,,10200,French Level II,202320,Spring 2023,16,19963,"Abu, Regina",,5.00%,5.00%,,15.00%,15.00%,5.00%,15.00%,10.00%,10.00%,,,10.00%,,,,,,,,,,,10.00%,,,
,,,,,,19,19966,"Abu, Regina",7.70%,38.50%,,,7.70%,7.70%,,,,,,7.70%,7.70%,,15.40%,,,,,,,,,7.70%,,,
,,,,,,30,15771,"Adewuyi, Roseline A.",28.60%,33.30%,,,4.80%,9.50%,14.30%,4.80%,,,,,,,4.80%,,,,,,,,,,,,
,,11200,Elem French Conversation,202320,Spring 2023,1,15773,"Migliorini, Lou",25.00%,33.30%,16.70%,8.30%,,,,8.30%,,,,,,,,,,,,,,,,8.30%,,,
,,20100,French Level III,202320,Spring 2023,2,19971,"Ben Hadj Ben M'Barek, Emmanuelle",17.60%,11.80%,11.80%,,17.60%,,11.80%,11.80%,,5.90%,,,5.90%,,5.90%,,,,,,,,,,,,
,,,,,,4,19973,"Souffrant, Myriam R.",,18.20%,,,18.20%,,9.10%,18.20%,9.10%,9.10%,,,,,18.20%,,,,,,,,,,,,
,,,,,,5,15774,"Ben Hadj Ben M'Barek, Emmanuelle",35.00%,5.00%,5.00%,,30.00%,5.00%,15.00%,,,5.00%,,,,,,,,,,,,,,,,,
,,,,,,6,29993,"Ehsanfar, Saeed",21.40%,7.10%,7.10%,,7.10%,7.10%,28.60%,14.30%,7.10%,,,,,,,,,,,,,,,,,,
,,20200,French Level IV,202320,Spring 2023,3,15776,"Adigun, Doyin Y.",,33.30%,13.30%,,13.30%,,13.30%,6.70%,13.30%,,,6.70%,,,,,,,,,,,,,,,
,,,,,,4,15777,"Adigun, Doyin Y.",31.80%,9.10%,4.50%,,4.50%,4.50%,18.20%,4.50%,9.10%,4.50%,,4.50%,4.50%,,,,,,,,,,,,,,
,,21200,Intermed French Conversation,202320,Spring 2023,1,15779,"Migliorini, Lou",30.80%,30.80%,15.40%,,7.70%,,7.70%,,,,,,,,7.70%,,,,,,,,,,,,
,,24100,Intro Study French Lit,202320,Spring 2023,2,23196,"Leverage, Paula E.",23.10%,15.40%,23.10%,,7.70%,,7.70%,,7.70%,,,,,,7.70%,,,,,,,,,7.70%,,,
,,30100,French Level V,202320,Spring 2023,3,22524,"Valero Pena, Ana Isabel",23.10%,15.40%,30.80%,,,,7.70%,,15.40%,,,,,,,,,,,,,,,7.70%,,,
,,31200,Advanced French Conversation,202320,Spring 2023,1,15780,"Migliorini, Lou",28.60%,28.60%,21.40%,,,7.10%,7.10%,,,,,,,,7.10%,,,,,,,,,,,,
,,38000,Le Sport Fran�ais,202320,Spring 2023,1,25991,"Sturm, Jessica L.",10.50%,,78.90%,,,,5.30%,,,,,,,,5.30%,,,,,,,,,,,,
,,,Le Sport Fran�ais-Honors,202320,Spring 2023,1,25991,"Sturm, Jessica L.",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,58200,Francophone Cultures,202320,Spring 2023,1,23217,"Veldwachter, Germina N.",18.80%,18.80%,,6.30%,25.00%,,6.30%,,6.30%,12.50%,,,,,,,,,,,,,,6.30%,,,
FS,FS-Food Science,16100,Science Of Food,202320,Spring 2023,1,10409,"Cho, Young-Hee",16.90%,15.50%,7.00%,,13.40%,11.30%,10.60%,7.70%,2.80%,4.20%,1.40%,0.70%,0.70%,,2.80%,,,,0.70%,,,,,4.20%,,,
,,16200,Intro Food Processing,202320,Spring 2023,1,11910,"Corvalan, Carlos M.",29.40%,,47.10%,,17.60%,,,,,,5.90%,,,,,,,,,,,,,,,,
,,16300,Intro To Fermentation Sci,202320,Spring 2023,1,10215,"San Martin-Gonzalez, Maria F.",51.20%,20.90%,7.00%,,,,7.00%,,2.30%,2.30%,2.30%,2.30%,,,2.30%,,,,,,,,,2.30%,,,
,,24500,Food Packaging,202320,Spring 2023,1,20018,"Mauer, Lisa J.",65.80%,13.20%,10.50%,,2.60%,2.60%,2.60%,,,,,,,,2.60%,,,,,,,,,,,,
,,34000,Intro Food Law & Regs,202320,Spring 2023,1,20021,"Hamaker, Bruce R.",30.00%,15.00%,15.00%,,15.00%,5.00%,12.50%,,,5.00%,,,,,2.50%,,,,,,,,,,,,
,,43500,Sensory Science,202320,Spring 2023,4,68242,"Liceaga, Andrea M.",3.10%,15.60%,,,12.50%,15.60%,18.80%,21.90%,,12.50%,,,,,,,,,,,,,,,,,
,,44300,Food Product Design (Capstone),202320,Spring 2023,1,20026,"Liceaga, Andrea M.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45300,Food Chemistry,202320,Spring 2023,1,20028,"Reddivari, Lavanya",30.00%,30.00%,,,6.70%,3.30%,26.70%,3.30%,,,,,,,,,,,,,,,,,,,
,,45400,Food Chemistry Lab,202320,Spring 2023,3,10382,"Kim, Kee Hong",57.90%,31.60%,,,,,5.30%,,,,5.30%,,,,,,,,,,,,,,,,
,,,,,,4,22076,"Kim, Kee Hong",63.60%,,,,,9.10%,18.20%,,,,,9.10%,,,,,,,,,,,,,,,
,,46700,Food Analysis,202320,Spring 2023,1,15784,"Reuhs, Bradley L.",55.60%,,14.80%,,29.60%,,,,,,,,,,,,,,,,,,,,,,
,,46900,Food Analysis Laboratory,202320,Spring 2023,1,49503,"Cho, Young-Hee",36.80%,15.80%,10.50%,,5.30%,,21.10%,,,5.30%,,5.30%,,,,,,,,,,,,,,,
,,47000,Wine Appreciation,202320,Spring 2023,1,28271,"Butzke, Christian E.",92.90%,,,0.50%,3.90%,,,,,,,,,,0.20%,,,,2.30%,,,,,0.30%,,,
,,,Wine Appreciation-Honors,202320,Spring 2023,1,28271,"Butzke, Christian E.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55501,Case Study,202320,Spring 2023,1,11989,"Yao, Yuan",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59100,Brewing,202320,Spring 2023,18,20572,"San Martin-Gonzalez, Maria F.",26.70%,6.70%,13.30%,,,,53.30%,,,,,,,,,,,,,,,,,,,,
,,68400,Food Science Seminar,202320,Spring 2023,2,26910,"Reddivari, Lavanya",,,,,,,,,,,,,,,,,,,100.00%,,,,,,,,
FVS,FVS-Film And Video Studies,26100,Foundations Cinema Production,202320,Spring 2023,1,18606,"Sklar, Jeremy F.",9.10%,11.40%,70.50%,,,,6.80%,,,,,,,,,,,,,,,,,2.30%,,,
,,29000,Women In Film LC,202320,Spring 2023,LC1,27932,"Chastain, Bobby L.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33000,International Cinema,202320,Spring 2023,1,10628,"Hughes, Shaun F.",35.30%,11.80%,29.40%,,5.90%,,11.80%,,,,,,,,,,,,,,,,,5.90%,,,
,,33202,Sports Video Spring,202320,Spring 2023,1,28919,"Massingill, Hunter R.",73.30%,3.30%,,,23.30%,,,,,,,,,,,,,,,,,,,,,,
,,33400,Cinematography & Videography,202320,Spring 2023,1,15797,"Chastain, Bobby L.",77.80%,5.60%,,,,,,,,,,,,,11.10%,,,,,,,,,5.60%,,,
,,33600,Screenwriting,202320,Spring 2023,1,15798,"Sklar, Jeremy F.",10.50%,10.50%,73.70%,,,,,,,,,,,,5.30%,,,,,,,,,,,,
,,33700,Editing I,202320,Spring 2023,2,52855,"Chastain, Bobby L.",47.40%,15.80%,,,10.50%,5.30%,5.30%,5.30%,,,,,,,5.30%,,,,,,,,,5.30%,,,
,,33800,Editing II,202320,Spring 2023,1,24089,"Chastain, Bobby L.",78.60%,7.10%,7.10%,,,,,,,7.10%,,,,,,,,,,,,,,,,,
